PosicionBolasLanzadas	FuerzaBruta	DivideYVenceras	GPU8	1.3589859008789062e-05	-1.3828277587890625e-05
500	0.0011212825775146484	-2.86102294921875e-06
128	0.000263214111328125	-3.0994415283203125e-06
2	1.0251998901367188e-05	-2.1457672119140625e-06
16	2.0265579223632812e-05	-2.86102294921875e-06
128	9.632110595703125e-05	-2.6226043701171875e-06
80	0.015176057815551758	-2.6226043701171875e-06
100	2.1497974395751953	-3.0994415283203125e-06
100	0.7002735137939453	-3.337860107421875e-06
1	0.027178049087524414	-2.86102294921875e-06
1	0.3454306125640869	-2.86102294921875e-06
